dataset,model,n_folds,n_estimators,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
breast_cancer,decision_tree,5,100,0.9139108834031984,0.012741446206655016,0.9080557209307833,0.014117374455055537,0.9094068285683091,0.017486551235385155
breast_cancer,adaboost,5,100,0.9666200900481291,0.017873261102618603,0.9639401028579357,0.019416229375242105,0.9933964250619999,0.006209344269466953
breast_cancer,random_forest,5,100,0.9613414066138798,0.004248157574470418,0.9584924063385379,0.005011812640817197,0.9896347941221837,0.006757671285863558
breast_cancer,sklearn_rf,5,100,0.9560937742586555,0.012339688646904016,0.9528924697936147,0.013463651437667432,0.9885484634768126,0.008269216268312604
adult,decision_tree,5,100,0.8011666666666667,0.01865326900155695,0.7375456270297127,0.02197964529877601,0.7411077662985827,0.01991638465362971
adult,adaboost,5,100,0.8424999999999999,0.01237156237326374,0.7688621961900448,0.01974461941306608,0.8998433834885899,0.0049713164079196025
adult,random_forest,5,100,0.8471666666666666,0.011578236288638959,0.7707048095196839,0.016811111380355907,0.9042371669601035,0.009188878332024229
adult,sklearn_rf,5,100,0.8478333333333333,0.012025436005031632,0.7714753398392369,0.01596082592035698,0.9026080666756959,0.009781767274806081
covertype,decision_tree,5,100,0.681,0.010844865656664983,0.5506417603123605,0.034833529772991326,0.744066849637241,0.017187930486181394
covertype,adaboost,5,100,0.6033333333333333,0.009354143466934866,0.31342148514045975,0.015579550633860177,0.88457563984419,0.0075125569235304605
covertype,random_forest,5,100,0.7395,0.009741092797468282,0.6500147942396097,0.03332000387818969,0.9412348865448056,0.0025901160840530128
covertype,sklearn_rf,5,100,0.7211666666666666,0.007648529270389198,0.6357207324314617,0.023548222719302625,0.9397089945055936,0.0034700414848182447
mnist_38,decision_tree,5,100,0.9480000000000001,0.008106924338010225,0.9479576117435549,0.008124400583326688,0.9478634952055524,0.00820545308757611
mnist_38,adaboost,5,100,0.9528333333333334,0.0066374359172465995,0.952810790338156,0.006644465064939766,0.988811974529671,0.0020069976831307255
mnist_38,random_forest,5,100,0.9826666666666666,0.004898979485566361,0.9826618576873626,0.004899393815194976,0.9975348460078797,0.0002397724736275281
mnist_38,sklearn_rf,5,100,0.9813333333333333,0.004169998667732276,0.9813267288253943,0.004172985171454291,0.9977877517241904,0.00032819087623932596
